variable,type,sex,value,iso3,survey_year,region
registration,numerator,male,122.595717,AFG,2016,jawzjan
registration,denominator,male,314.442422,AFG,2016,jawzjan
registration,statistic,female,0.353225314429182,AFG,2016,jawzjan
registration,numerator,female,101.589333,AFG,2016,jawzjan
registration,denominator,female,287.604905,AFG,2016,jawzjan
registration,statistic,male,0.362541619887967,AFG,2016,khost
registration,numerator,male,195.012333,AFG,2016,khost
registration,denominator,male,537.903298,AFG,2016,khost
registration,statistic,female,0.381160277331525,AFG,2016,khost
registration,numerator,female,174.008516,AFG,2016,khost
registration,denominator,female,456.523217,AFG,2016,khost
registration,statistic,male,0.414173461575173,AFG,2016,kunarha
registration,numerator,male,164.832946,AFG,2016,kunarha
registration,denominator,male,397.980463,AFG,2016,kunarha
registration,statistic,female,0.299117539337102,AFG,2016,kunarha
registration,numerator,female,115.611286,AFG,2016,kunarha
registration,denominator,female,386.50788,AFG,2016,kunarha
registration,statistic,male,0.512445016785985,AFG,2016,faryab
registration,numerator,male,634.526167,AFG,2016,faryab
registration,denominator,male,1238.232681,AFG,2016,faryab
registration,statistic,female,0.532846402869241,AFG,2016,faryab
registration,numerator,female,618.28829,AFG,2016,faryab
registration,denominator,female,1160.349937,AFG,2016,faryab
registration,statistic,male,0.806236544332748,AFG,2016,badghis
registration,numerator,male,315.99475,AFG,2016,badghis
registration,denominator,male,391.938014,AFG,2016,badghis
registration,statistic,female,0.777424440882705,AFG,2016,badghis
registration,numerator,female,280.964717,AFG,2016,badghis
registration,denominator,female,361.404533,AFG,2016,badghis
registration,statistic,male,0.488237267887289,AFG,2016,herat
registration,numerator,male,506.615106,AFG,2016,herat
registration,denominator,male,1037.641203,AFG,2016,herat
registration,statistic,female,0.447572181367931,AFG,2016,herat
registration,numerator,female,457.689952,AFG,2016,herat
registration,denominator,female,1022.605897,AFG,2016,herat
registration,statistic,male,0.000809119155206253,AFG,2016,nooristan
registration,numerator,male,0.13502,AFG,2016,nooristan
registration,denominator,male,166.872826,AFG,2016,nooristan
registration,statistic,female,0.00174920118840426,AFG,2016,nooristan
registration,numerator,female,0.247751,AFG,2016,nooristan
registration,denominator,female,141.636652,AFG,2016,nooristan
registration,statistic,male,0.298683806186374,AFG,2016,badakhshan
registration,numerator,male,131.097913,AFG,2016,badakhshan
registration,denominator,male,438.918717,AFG,2016,badakhshan
registration,statistic,female,0.355109349764718,AFG,2016,badakhshan
registration,numerator,female,158.451789,AFG,2016,badakhshan
registration,denominator,female,446.205624,AFG,2016,badakhshan
registration,statistic,male,0.273956166911413,AFG,2016,kunduz
registration,numerator,male,155.531026,AFG,2016,kunduz
registration,denominator,male,567.722303,AFG,2016,kunduz
registration,statistic,female,0.267878581928332,AFG,2016,kunduz
registration,numerator,female,154.057385,AFG,2016,kunduz
registration,denominator,female,575.10154,AFG,2016,kunduz
registration,statistic,male,0.208266476669473,AFG,2016,samangan
registration,numerator,male,33.661329,AFG,2016,samangan
registration,denominator,male,161.626247,AFG,2016,samangan
registration,statistic,female,0.178719967430587,AFG,2016,samangan
registration,numerator,female,31.689701,AFG,2016,samangan
registration,denominator,female,177.314832,AFG,2016,samangan
registration,statistic,male,0.228996217597715,AFG,2016,zabul
registration,numerator,male,2.866023,AFG,2016,zabul
registration,denominator,male,12.515591,AFG,2016,zabul
registration,statistic,female,0.351357133256645,AFG,2016,zabul
registration,numerator,female,4.891035,AFG,2016,zabul
registration,denominator,female,13.920409,AFG,2016,zabul
registration,statistic,male,0.494766161147112,AFG,2016,kandahar
registration,numerator,male,620.901021,AFG,2016,kandahar
registration,denominator,male,1254.938332,AFG,2016,kandahar
registration,statistic,female,0.434163028756056,AFG,2016,kandahar
registration,numerator,female,587.801429,AFG,2016,kandahar
registration,denominator,female,1353.872601,AFG,2016,kandahar
registration,statistic,male,0.416382193825253,AFG,2016,farah
registration,numerator,male,196.659594,AFG,2016,farah
registration,denominator,male,472.305485,AFG,2016,farah
registration,statistic,female,0.403549156742378,AFG,2016,farah
registration,numerator,female,142.825942,AFG,2016,farah
registration,denominator,female,353.924521,AFG,2016,farah
registration,statistic,male,0.169692985726937,AFG,2016,helmand
registration,numerator,male,79.523921,AFG,2016,helmand
registration,denominator,male,468.634108,AFG,2016,helmand
registration,statistic,female,0.183224877575881,AFG,2016,helmand
registration,numerator,female,84.688592,AFG,2016,helmand
registration,denominator,female,462.211208,AFG,2016,helmand
registration,statistic,male,0.780466718820753,AFG,2016,nimroz
registration,numerator,male,105.265213,AFG,2016,nimroz
registration,denominator,male,134.874698,AFG,2016,nimroz
registration,statistic,female,0.771169337156372,AFG,2016,nimroz
registration,numerator,female,109.47066,AFG,2016,nimroz
registration,denominator,female,141.954114,AFG,2016,nimroz
mortality,statistic,male,0.0205796254366692,AFG,2016,nimroz
mortality,numerator,male,7.536395,AFG,2016,nimroz
mortality,denominator,male,366.2066165,AFG,2016,nimroz
mortality,statistic,female,0.0385991538809067,AFG,2016,nimroz
mortality,numerator,female,12.998607,AFG,2016,nimroz
mortality,denominator,female,336.7588585,AFG,2016,nimroz
stunting,statistic,male,,AFG,2016,nimroz
stunting,numerator,male,,AFG,2016,nimroz
stunting,denominator,male,0,AFG,2016,nimroz
stunting,statistic,female,,AFG,2016,nimroz
stunting,numerator,female,,AFG,2016,nimroz
stunting,denominator,female,0,AFG,2016,nimroz
education,statistic,male,0.0862201506353478,AFG,2016,nimroz
education,numerator,male,26.69758,AFG,2016,nimroz
education,denominator,male,309.644321,AFG,2016,nimroz
education,statistic,female,0.0286834148948708,AFG,2016,nimroz
education,numerator,female,8.250482,AFG,2016,nimroz
education,denominator,female,287.639461,AFG,2016,nimroz
registration,statistic,male,,BGD,1997,barisal
registration,numerator,male,,BGD,1997,barisal
registration,denominator,male,0,BGD,1997,barisal
registration,statistic,female,,BGD,1997,barisal
registration,numerator,female,,BGD,1997,barisal
registration,denominator,female,0,BGD,1997,barisal
registration,statistic,male,,BGD,1997,chittagong
registration,numerator,male,,BGD,1997,chittagong
registration,denominator,male,0,BGD,1997,chittagong
registration,statistic,female,,BGD,1997,chittagong
registration,numerator,female,,BGD,1997,chittagong
registration,denominator,female,0,BGD,1997,chittagong
registration,statistic,male,,BGD,1997,dhaka
registration,numerator,male,,BGD,1997,dhaka
registration,denominator,male,0,BGD,1997,dhaka
registration,statistic,female,,BGD,1997,dhaka
registration,numerator,female,,BGD,1997,dhaka
registration,denominator,female,0,BGD,1997,dhaka
registration,statistic,male,,BGD,1997,khulna
registration,numerator,male,,BGD,1997,khulna
registration,denominator,male,0,BGD,1997,khulna
registration,statistic,female,,BGD,1997,khulna
registration,numerator,female,,BGD,1997,khulna
registration,denominator,female,0,BGD,1997,khulna
registration,statistic,male,,BGD,1997,rajashahi
registration,numerator,male,,BGD,1997,rajashahi
registration,denominator,male,0,BGD,1997,rajashahi
registration,statistic,female,,BGD,1997,rajashahi
registration,numerator,female,,BGD,1997,rajashahi
registration,denominator,female,0,BGD,1997,rajashahi
registration,statistic,male,,BGD,1997,sylhet
registration,numerator,male,,BGD,1997,sylhet
registration,denominator,male,0,BGD,1997,sylhet
registration,statistic,female,,BGD,1997,sylhet
registration,numerator,female,,BGD,1997,sylhet
registration,denominator,female,0,BGD,1997,sylhet
mortality,statistic,male,0.181259727388017,BGD,1997,sylhet
mortality,numerator,male,101.20329,BGD,1997,sylhet
mortality,denominator,male,558.3330145,BGD,1997,sylhet
mortality,statistic,female,0.154810196175115,BGD,1997,sylhet
mortality,numerator,female,81.740308,BGD,1997,sylhet
mortality,denominator,female,528.0033875,BGD,1997,sylhet
stunting,statistic,male,0.613769269315218,BGD,1997,sylhet
stunting,numerator,male,91.966576,BGD,1997,sylhet
stunting,denominator,male,149.839004,BGD,1997,sylhet
stunting,statistic,female,0.621757741258558,BGD,1997,sylhet
stunting,numerator,female,96.461074,BGD,1997,sylhet
stunting,denominator,female,155.142538,BGD,1997,sylhet
education,statistic,male,0.07883220000469,BGD,1997,sylhet
education,numerator,male,51.192405,BGD,1997,sylhet
education,denominator,male,649.384452,BGD,1997,sylhet
education,statistic,female,0.0238742604736685,BGD,1997,sylhet
education,numerator,female,15.504291,BGD,1997,sylhet
education,denominator,female,649.414503,BGD,1997,sylhet
registration,statistic,male,,BGD,2000,rajashahi
registration,numerator,male,,BGD,2000,rajashahi
registration,denominator,male,0,BGD,2000,rajashahi
registration,statistic,female,,BGD,2000,rajashahi
registration,numerator,female,,BGD,2000,rajashahi
registration,denominator,female,0,BGD,2000,rajashahi
registration,statistic,male,,BGD,2000,khulna
registration,numerator,male,,BGD,2000,khulna
registration,denominator,male,0,BGD,2000,khulna
registration,statistic,female,,BGD,2000,khulna
registration,numerator,female,,BGD,2000,khulna
registration,denominator,female,0,BGD,2000,khulna
registration,statistic,male,,BGD,2000,barisal
registration,numerator,male,,BGD,2000,barisal
registration,denominator,male,0,BGD,2000,barisal
registration,statistic,female,,BGD,2000,barisal
registration,numerator,female,,BGD,2000,barisal
registration,denominator,female,0,BGD,2000,barisal
registration,statistic,male,,BGD,2000,dhaka
registration,numerator,male,,BGD,2000,dhaka
registration,denominator,male,0,BGD,2000,dhaka
registration,statistic,female,,BGD,2000,dhaka
registration,numerator,female,,BGD,2000,dhaka
registration,denominator,female,0,BGD,2000,dhaka
registration,statistic,male,,BGD,2000,sylhet
registration,numerator,male,,BGD,2000,sylhet
registration,denominator,male,0,BGD,2000,sylhet
registration,statistic,female,,BGD,2000,sylhet
registration,numerator,female,,BGD,2000,sylhet
registration,denominator,female,0,BGD,2000,sylhet
registration,statistic,male,,BGD,2000,chittagong
registration,numerator,male,,BGD,2000,chittagong
registration,denominator,male,0,BGD,2000,chittagong
registration,statistic,female,,BGD,2000,chittagong
registration,numerator,female,,BGD,2000,chittagong
registration,denominator,female,0,BGD,2000,chittagong
mortality,statistic,male,0.100155362524786,BGD,2000,chittagong
mortality,numerator,male,194.1342775,BGD,2000,chittagong
mortality,denominator,male,1938.3313345,BGD,2000,chittagong
mortality,statistic,female,0.1072941763452,BGD,2000,chittagong
mortality,numerator,female,190.289705,BGD,2000,chittagong
mortality,denominator,female,1773.5324645,BGD,2000,chittagong
stunting,statistic,male,0.469252092892038,BGD,2000,chittagong
stunting,numerator,male,280.447633,BGD,2000,chittagong
stunting,denominator,male,597.648124,BGD,2000,chittagong
stunting,statistic,female,0.438315269311549,BGD,2000,chittagong
stunting,numerator,female,265.010445,BGD,2000,chittagong
stunting,denominator,female,604.611483,BGD,2000,chittagong
education,statistic,male,0.263408925875261,BGD,2000,chittagong
education,numerator,male,617.261154,BGD,2000,chittagong
education,denominator,male,2343.357014,BGD,2000,chittagong
education,statistic,female,0.101311739660328,BGD,2000,chittagong
education,numerator,female,252.36084,BGD,2000,chittagong
education,denominator,female,2490.933833,BGD,2000,chittagong
registration,statistic,male,,BGD,2004,barisal
registration,numerator,male,,BGD,2004,barisal
registration,denominator,male,0,BGD,2004,barisal
registration,statistic,female,,BGD,2004,barisal
registration,numerator,female,,BGD,2004,barisal
registration,denominator,female,0,BGD,2004,barisal
registration,statistic,male,,BGD,2004,chittagong
registration,numerator,male,,BGD,2004,chittagong
registration,denominator,male,0,BGD,2004,chittagong
registration,statistic,female,,BGD,2004,chittagong
registration,numerator,female,,BGD,2004,chittagong
registration,denominator,female,0,BGD,2004,chittagong
registration,statistic,male,,BGD,2004,dhaka
registration,numerator,male,,BGD,2004,dhaka
registration,denominator,male,0,BGD,2004,dhaka
registration,statistic,female,,BGD,2004,dhaka
registration,numerator,female,,BGD,2004,dhaka
registration,denominator,female,0,BGD,2004,dhaka
registration,statistic,male,,BGD,2004,khulna
registration,numerator,male,,BGD,2004,khulna
registration,denominator,male,0,BGD,2004,khulna
registration,statistic,female,,BGD,2004,khulna
registration,numerator,female,,BGD,2004,khulna
registration,denominator,female,0,BGD,2004,khulna
registration,statistic,male,,BGD,2004,rajshahi
registration,numerator,male,,BGD,2004,rajshahi
registration,denominator,male,0,BGD,2004,rajshahi
registration,statistic,female,,BGD,2004,rajshahi
registration,numerator,female,,BGD,2004,rajshahi
registration,denominator,female,0,BGD,2004,rajshahi
registration,statistic,male,,BGD,2004,sylhet
registration,numerator,male,,BGD,2004,sylhet
registration,denominator,male,0,BGD,2004,sylhet
registration,statistic,female,,BGD,2004,sylhet
registration,numerator,female,,BGD,2004,sylhet
registration,denominator,female,0,BGD,2004,sylhet
mortality,statistic,male,0.13396832787057,BGD,2004,sylhet
mortality,numerator,male,95.583926,BGD,2004,sylhet
mortality,denominator,male,713.4815185,BGD,2004,sylhet
mortality,statistic,female,0.113916319541188,BGD,2004,sylhet
mortality,numerator,female,78.932524,BGD,2004,sylhet
mortality,denominator,female,692.8991765,BGD,2004,sylhet
stunting,statistic,male,0.444337068237883,BGD,2004,sylhet
stunting,numerator,male,108.732674,BGD,2004,sylhet
stunting,denominator,male,244.707637,BGD,2004,sylhet
stunting,statistic,female,0.48432783668246,BGD,2004,sylhet
stunting,numerator,female,118.848724,BGD,2004,sylhet
stunting,denominator,female,245.389001,BGD,2004,sylhet
education,statistic,male,0.106080449269738,BGD,2004,sylhet
education,numerator,male,96.332806,BGD,2004,sylhet
education,denominator,male,908.110841,BGD,2004,sylhet
education,statistic,female,0.0368078451885626,BGD,2004,sylhet
education,numerator,female,34.130135,BGD,2004,sylhet
education,denominator,female,927.251645,BGD,2004,sylhet
registration,statistic,male,,BGD,2007,barisal
registration,numerator,male,,BGD,2007,barisal
registration,denominator,male,0,BGD,2007,barisal
registration,statistic,female,,BGD,2007,barisal
registration,numerator,female,,BGD,2007,barisal
registration,denominator,female,0,BGD,2007,barisal
registration,statistic,male,,BGD,2007,chittagong
registration,numerator,male,,BGD,2007,chittagong
registration,denominator,male,0,BGD,2007,chittagong
registration,statistic,female,,BGD,2007,chittagong
registration,numerator,female,,BGD,2007,chittagong
registration,denominator,female,0,BGD,2007,chittagong
registration,statistic,male,,BGD,2007,dhaka
registration,numerator,male,,BGD,2007,dhaka
registration,denominator,male,0,BGD,2007,dhaka
registration,statistic,female,,BGD,2007,dhaka
registration,numerator,female,,BGD,2007,dhaka
registration,denominator,female,0,BGD,2007,dhaka
registration,statistic,male,,BGD,2007,khulna
registration,numerator,male,,BGD,2007,khulna
registration,denominator,male,0,BGD,2007,khulna
registration,statistic,female,,BGD,2007,khulna
registration,numerator,female,,BGD,2007,khulna
registration,denominator,female,0,BGD,2007,khulna
registration,statistic,male,,BGD,2007,rajshahi
registration,numerator,male,,BGD,2007,rajshahi
registration,denominator,male,0,BGD,2007,rajshahi
registration,statistic,female,,BGD,2007,rajshahi
registration,numerator,female,,BGD,2007,rajshahi
registration,denominator,female,0,BGD,2007,rajshahi
registration,statistic,male,,BGD,2007,sylhet
registration,numerator,male,,BGD,2007,sylhet
registration,denominator,male,0,BGD,2007,sylhet
registration,statistic,female,,BGD,2007,sylhet
registration,numerator,female,,BGD,2007,sylhet
registration,denominator,female,0,BGD,2007,sylhet
mortality,statistic,male,0.104315066026091,BGD,2007,sylhet
mortality,numerator,male,72.504014,BGD,2007,sylhet
mortality,denominator,male,695.048345,BGD,2007,sylhet
mortality,statistic,female,0.109476890516031,BGD,2007,sylhet
mortality,numerator,female,71.119234,BGD,2007,sylhet
mortality,denominator,female,649.6278225,BGD,2007,sylhet
stunting,statistic,male,0.448111830543701,BGD,2007,sylhet
stunting,numerator,male,103.600387,BGD,2007,sylhet
stunting,denominator,male,231.193153,BGD,2007,sylhet
stunting,statistic,female,0.459654774685686,BGD,2007,sylhet
stunting,numerator,female,101.03736,BGD,2007,sylhet
stunting,denominator,female,219.811401,BGD,2007,sylhet
education,statistic,male,0.100633798465358,BGD,2007,sylhet
education,numerator,male,87.64428,BGD,2007,sylhet
education,denominator,male,870.922904,BGD,2007,sylhet
education,statistic,female,0.0408486181244479,BGD,2007,sylhet
education,numerator,female,37.461973,BGD,2007,sylhet
education,denominator,female,917.092786,BGD,2007,sylhet
registration,statistic,male,0.362206475262358,BGD,2011,barisal
registration,numerator,male,100.904163,BGD,2011,barisal
registration,denominator,male,278.581886,BGD,2011,barisal
registration,statistic,female,0.320011675880958,BGD,2011,barisal
registration,numerator,female,80.786505,BGD,2011,barisal
registration,denominator,female,252.448617,BGD,2011,barisal
registration,statistic,male,0.321930941410107,BGD,2011,chittagong
registration,numerator,male,342.293858,BGD,2011,chittagong
registration,denominator,male,1063.252437,BGD,2011,chittagong
registration,statistic,female,0.301859094939037,BGD,2011,chittagong
registration,numerator,female,329.735968,BGD,2011,chittagong
registration,denominator,female,1092.350615,BGD,2011,chittagong
registration,statistic,male,0.269220599690365,BGD,2011,dhaka
registration,numerator,male,392.838322,BGD,2011,dhaka
registration,denominator,male,1459.168884,BGD,2011,dhaka
registration,statistic,female,0.280637554980431,BGD,2011,dhaka
registration,numerator,female,403.439355,BGD,2011,dhaka
registration,denominator,female,1437.581492,BGD,2011,dhaka
registration,statistic,male,0.309943620188528,BGD,2011,khulna
registration,numerator,male,131.464307,BGD,2011,khulna
registration,denominator,male,424.155551,BGD,2011,khulna
registration,statistic,female,0.305155938425148,BGD,2011,khulna
registration,numerator,female,131.451651,BGD,2011,khulna
registration,denominator,female,430.768779,BGD,2011,khulna
registration,statistic,male,0.258873347706098,BGD,2011,rajshahi
registration,numerator,male,162.812928,BGD,2011,rajshahi
registration,denominator,male,628.928893,BGD,2011,rajshahi
registration,statistic,female,0.276535102415818,BGD,2011,rajshahi
registration,numerator,female,158.387586,BGD,2011,rajshahi
registration,denominator,female,572.757616,BGD,2011,rajshahi
registration,statistic,male,0.326424530280639,BGD,2011,rangpur
registration,numerator,male,168.905327,BGD,2011,rangpur
registration,denominator,male,517.440668,BGD,2011,rangpur
registration,statistic,female,0.33564154961721,BGD,2011,rangpur
registration,numerator,female,159.556719,BGD,2011,rangpur
registration,denominator,female,475.378329,BGD,2011,rangpur
registration,statistic,male,0.452990556052241,BGD,2011,sylhet
registration,numerator,male,162.541,BGD,2011,sylhet
registration,denominator,male,358.817635,BGD,2011,sylhet
registration,statistic,female,0.423517132526704,BGD,2011,sylhet
registration,numerator,female,142.804897,BGD,2011,sylhet
registration,denominator,female,337.188005,BGD,2011,sylhet
mortality,statistic,male,0.0813976871249454,BGD,2011,sylhet
mortality,numerator,male,72.615347,BGD,2011,sylhet
mortality,denominator,male,892.105778,BGD,2011,sylhet
mortality,statistic,female,0.0819631190968594,BGD,2011,sylhet
mortality,numerator,female,69.621611,BGD,2011,sylhet
mortality,denominator,female,849.4260805,BGD,2011,sylhet
stunting,statistic,male,0.481360755252022,BGD,2011,sylhet
stunting,numerator,male,149.368395,BGD,2011,sylhet
stunting,denominator,male,310.304472,BGD,2011,sylhet
stunting,statistic,female,0.509074189374865,BGD,2011,sylhet
stunting,numerator,female,151.086773,BGD,2011,sylhet
stunting,denominator,female,296.787337,BGD,2011,sylhet
education,statistic,male,0.155408447508011,BGD,2011,sylhet
education,numerator,male,185.82622,BGD,2011,sylhet
education,denominator,male,1195.727922,BGD,2011,sylhet
education,statistic,female,0.0743500796682696,BGD,2011,sylhet
education,numerator,female,101.362955,BGD,2011,sylhet
education,denominator,female,1363.320059,BGD,2011,sylhet
registration,statistic,male,0.190229554887553,BGD,2014,barisal
registration,numerator,male,49.406747,BGD,2014,barisal
registration,denominator,male,259.721719,BGD,2014,barisal
registration,statistic,female,0.210658457094071,BGD,2014,barisal
registration,numerator,female,49.323845,BGD,2014,barisal
registration,denominator,female,234.1413,BGD,2014,barisal
registration,statistic,male,0.219686649087866,BGD,2014,chittagong
registration,numerator,male,206.931952,BGD,2014,chittagong
registration,denominator,male,941.94141,BGD,2014,chittagong
registration,statistic,female,0.201521418939155,BGD,2014,chittagong
registration,numerator,female,181.700809,BGD,2014,chittagong
registration,denominator,female,901.645145,BGD,2014,chittagong
registration,statistic,male,0.206976492890448,BGD,2014,dhaka
registration,numerator,male,322.358332,BGD,2014,dhaka
registration,denominator,male,1557.463495,BGD,2014,dhaka
registration,statistic,female,0.186014826920905,BGD,2014,dhaka
registration,numerator,female,260.367598,BGD,2014,dhaka
registration,denominator,female,1399.714218,BGD,2014,dhaka
registration,statistic,male,0.210037093682847,BGD,2014,khulna
registration,numerator,male,67.021284,BGD,2014,khulna
registration,denominator,male,319.092608,BGD,2014,khulna
registration,statistic,female,0.232230045218628,BGD,2014,khulna
registration,numerator,female,77.302391,BGD,2014,khulna
registration,denominator,female,332.869896,BGD,2014,khulna
registration,statistic,male,0.153191048622102,BGD,2014,rajshahi
registration,numerator,male,70.604028,BGD,2014,rajshahi
registration,denominator,male,460.888731,BGD,2014,rajshahi
registration,statistic,female,0.139217373652501,BGD,2014,rajshahi
registration,numerator,female,61.057208,BGD,2014,rajshahi
registration,denominator,female,438.574629,BGD,2014,rajshahi
registration,statistic,male,0.196631414117901,BGD,2014,rangpur
registration,numerator,male,86.581717,BGD,2014,rangpur
registration,denominator,male,440.324947,BGD,2014,rangpur
registration,statistic,female,0.198185439524735,BGD,2014,rangpur
registration,numerator,female,80.302304,BGD,2014,rangpur
registration,denominator,female,405.187708,BGD,2014,rangpur
registration,statistic,male,0.256964759143389,BGD,2014,sylhet
registration,numerator,male,107.970438,BGD,2014,sylhet
registration,denominator,male,420.176052,BGD,2014,sylhet
registration,statistic,female,0.280062007046094,BGD,2014,sylhet
registration,numerator,female,111.717409,BGD,2014,sylhet
registration,denominator,female,398.902408,BGD,2014,sylhet
mortality,statistic,male,0.0832271042105642,BGD,2014,sylhet
mortality,numerator,male,90.4568495,BGD,2014,sylhet
mortality,denominator,male,1086.867678,BGD,2014,sylhet
mortality,statistic,female,0.0751176854412381,BGD,2014,sylhet
