value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
1,ynm,Swaziland_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Turkmenistan_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Kosovo under UNSC res. 1244_MICS5_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Kyrgyzstan MICS5 Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Lao People's Democratic Republic_LSIS_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,"Macedonia, The former Yugoslav Republic of_MICS4_Datasets",NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Mauritania_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Moldova_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Mongolia_MICS5_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Montenegro_MICS5_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Nepal_MICS5_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Sao Tome and Principe_MICS5_Datasets,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Serbia_MICS5_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Somalia MICS 2006 SPSS Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,South Sudan_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,St.Lucia_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,attended,Cameroon_MICS5_Datasets,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN
1,attended,Guinea Bissau_MICS5_Datasets,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN
1,school,Cameroon_MICS5_Datasets,NAN,NAN,NAN,primary,NAN,NAN,NAN,NAN
1,school,Guinea Bissau_MICS5_Datasets,NAN,NAN,NAN,primary,NAN,NAN,NAN,NAN
1,ynm,State of Palestine_MICS5_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Sudan_MICS5_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Suriname_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Syria MICS 2006 SPSS Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Thailand_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,urban.rural,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Trinidad and Tobago MICS 2006 SPSS Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Tunisia_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,attended,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,school,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,ynm,Ukraine_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Uruguay_MICS4_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Uzbekistan MICS 2006 SPSS Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Vanuatu MICS 2007 SPSS Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,ynm,Viet Nam_MICS5_Datasets,NAN,1,NAN,,NAN,NAN,NAN,NAN
1,attended,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,urban.rural,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,attended,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,urban.rural,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,school,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,urban.rural,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,attended,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,urban.rural,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
1,school,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,attended,Cameroon_MICS5_Datasets,NAN,NAN,1,NAN,NAN,NAN,NAN,NAN
2,attended,Guinea Bissau_MICS5_Datasets,NAN,NAN,1,NAN,NAN,NAN,NAN,NAN
2,school,Cameroon_MICS5_Datasets,NAN,NAN,NAN,secondary,NAN,NAN,NAN,NAN
2,school,Guinea Bissau_MICS5_Datasets,NAN,NAN,NAN,secondary,NAN,NAN,NAN,NAN
2,urban.rural,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,attended,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,school,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,attended,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,urban.rural,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Algeria_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Argentina_MICS4_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Barbados_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Belarus_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Belize_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Bhutan_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Bosnia and Herzegovina_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Costa Rica_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Cuba_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Djibouti MICS 2006 SPSS Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Iraq_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Jamaica_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Cameroon_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Central African Republic_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Kosovo under UNSC res. 1244_MICS5_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Kyrgyzstan MICS5 Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Lao People's Democratic Republic_LSIS_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,"Macedonia, The former Yugoslav Republic of_MICS4_Datasets",NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Mauritania_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Dominican Republic_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,El Salvador_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Guinea Bissau_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Guyana_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Kazakhstan_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Mexico_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Swaziland_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Turkmenistan_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Moldova_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Mongolia_MICS5_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Montenegro_MICS5_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Nepal_MICS5_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Sao Tome and Principe_MICS5_Datasets,NAN,1,NAN,NAN,NAN,NAN,NAN,NAN
2,ynm,Serbia_MICS5_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Somalia MICS 2006 SPSS Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,South Sudan_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,St.Lucia_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,State of Palestine_MICS5_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Sudan_MICS5_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Suriname_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Syria MICS 2006 SPSS Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Thailand_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Trinidad and Tobago MICS 2006 SPSS Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Tunisia_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Ukraine_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Uruguay_MICS4_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Uzbekistan MICS 2006 SPSS Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Vanuatu MICS 2007 SPSS Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,ynm,Viet Nam_MICS5_Datasets,NAN,0,NAN,,NAN,NAN,NAN,NAN
2,attended,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,urban.rural,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,school,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,urban.rural,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,attended,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,urban.rural,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
2,school,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,school,Cameroon_MICS5_Datasets,NAN,NAN,NAN,higher,NAN,NAN,NAN,NAN
3,school,Guinea Bissau_MICS5_Datasets,NAN,NAN,NAN,higher,NAN,NAN,NAN,NAN
3,school,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Algeria_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Argentina_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Barbados_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Belize_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Bhutan_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Bosnia and Herzegovina_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Cameroon_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Central African Republic_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Costa Rica_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Dominican Republic_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,El Salvador_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Guyana_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Jamaica_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Kazakhstan_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Kosovo under UNSC res. 1244_MICS5_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Kyrgyzstan MICS5 Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Lao People's Democratic Republic_LSIS_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,"Macedonia, The former Yugoslav Republic of_MICS4_Datasets",NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Mauritania_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Mexico_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Moldova_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Montenegro_MICS5_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Nepal_MICS5_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Serbia_MICS5_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,South Sudan_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,St.Lucia_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,State of Palestine_MICS5_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,school,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Sudan_MICS5_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Suriname_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Swaziland_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Thailand_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Tunisia_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Turkmenistan_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
3,ynm,Ukraine_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Uruguay_MICS4_Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,ynm,Vanuatu MICS 2007 SPSS Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
3,school,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,school,Guinea Bissau_MICS5_Datasets,NAN,NAN,NAN,higher,NAN,NAN,NAN,NAN
4,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,ynm,Argentina_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,ynm,El Salvador_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
4,school,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
5,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,school,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
6,school,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
7,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
8,school,Cameroon_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
8,school,Guinea Bissau_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
8,school,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
8,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
8,school,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,school,Cameroon_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,attended,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,school,Djibouti MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,school,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,attended,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,school,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,ynm,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,ynm,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,ynm,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,ynm,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
9,ynm,Trinidad and Tobago MICS 2006 SPSS Datasets,NAN,NAN,NAN,,NAN,NAN,NAN,NAN
9,attended,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,water,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,toilets,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,wall,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,floor,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,water,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,toilets,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,floor,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,water,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,toilets,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,wall,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,floor,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,water,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,toilets,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,floor,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,water,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,toilets,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,water,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,toilets,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,wall,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,floor,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,water,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,toilets,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,water,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,wall,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,water,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,toilets,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,water,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,toilets,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,wall,Algeria_MICS4_Datasets,NAN,NAN,NAN,,TRUE,1,NAN,NAN
13,water,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,toilets,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,wall,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,water,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,toilets,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,water,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,wall,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,water,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,toilets,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,water,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,toilets,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,wall,Algeria_MICS4_Datasets,NAN,NAN,NAN,,TRUE,1,NAN,NAN
14,water,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,toilets,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,water,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,toilets,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,water,Sao Tome and Principe_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,toilets,Somalia MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,toilets,Uzbekistan MICS 2006 SPSS Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
15,toilets,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
15,toilets,Iraq_MICS4_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
21,wall,Algeria_MICS4_Datasets,NAN,NAN,NAN,,TRUE,1,NAN,NAN
21,water,Cuba_MICS5_Datasets,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
