Country.,Contract.Phase.,Recode.Structure.,Implementing.Organization.,BeginDate,EndDate,Status.,Birth.registration,Calendar,Cooking.fuel,Domestic.violence,Fieldworker.characteristics,Fistula,GPS.georeferenced,HIV.behavior,HIV.knowledge,Iodine.salt.test,Malaria.bednet.inventory..Includes.bednet.inventory,Male.circumcision.self.reported,Maternal.mortality,Men.s.survey,Micronutrients,Paper.survey,Social.marketing,Tobacco.use,Tuberculosis.questions,Vitamin.A.questions,Women.s.status,dhs_cc,dhs_recode_code,survey_id,Abortion,Alcohol.consumption,Causes.of.death,Health.expenditures,Migration,Out.of.pocket.health.expenditures,Pregnancy.history,Prenatal.care...folic.acid,Verbal.autopsy,Anemia.testing,Anthropometry,Blood.pressure..measure.,Blood.pressure.questions,CAPI.survey,Child.discipline,Child.labor,Diabetes.questions,Disability,Early.childhood.education,Health.insurance,Vaccinations.from.health.facilities,Non.communicable.diseases,Anemia.questions,HIV.testing,HIV.testing.includes.confirmation,Malaria...RDT,Malaria...Microscopy,Breast.cancer.screening,Cervical.cancer.screening,Prostate.cancer.screening,CAFÉ.survey,Service.availability,Diabetes.testing,Arsenic...water.test,Husband.s.survey,Early.childhood.development,Female.genital.cutting,OVC,Arm.circumference,Asthma,Basic.material.needs,Youth,Hepatitis.B.testing,Hepatitis.C.testing,Avian.influenza.knowledge,HIV.testing...children,Lead.testing,HIV.incidence,HIV.viral.load,E..coli...water.test,Measles.testing,Syphilis.testing,Tetanus.testing,HIV.CD4.count,Chlorine...water.test,Urine.iodine.excretion,Iron.transferrin.receptor..related.to.anemia.testing,Vitamin.A.testing,Herpes.simplex.virus...HSV.2.,Human.trafficking,Chlamydia.testing,Lipids.testing,dayslength,middate,BeginYear,EndYear,surveyyr,WealthIndex
Bolivia,DHS-III,DHS-III,"Instituto Nacional de Estadistica, INE",1998-03-01,1998-09-01,Completed,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,BO,3B,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,1998-06-01,1998,1998,1998,1
Bolivia,DHS-III,DHS-III,Instituto Nacional de Estadística (INE),1993-11-01,1994-05-01,Completed,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,BO,31,65,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,1994-01-30,1993,1994,1994,1
Bolivia,DHS-I,DHS-I,Instituto Nacional de Estadística (INE),1989-03-01,1989-07-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,1,BO,01,28,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1989-05-01,1989,1989,1989,NA
Botswana,DHS-I,DHS-I,"Family Health Division of the Ministry of Health, and Central Statistics Office of the Ministry of Finance and Development Planning",1988-08-01,1988-12-01,Completed,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1988-10-01,1988,1988,1988,NA
Brazil,DHS-III,DHS-III,Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM),1996-03-01,1996-06-01,Completed,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,BR,31,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1996-04-16,1996,1996,1996,1
Brazil,DHS-II,DHS-II,Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM),1991-08-01,1991-12-01,Completed,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,BR,21,40,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1991-10-01,1991,1991,1991,NA
Brazil,DHS-I,DHS-I,Sociedad Civil Bem-Estar Familiar no Brasil (BEMFAM),1986-05-01,1986-08-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,BR,01,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1986-06-16,1986,1986,1986,NA
Burkina Faso,DHS-VII,DHS-VI,The National Institute of Statistics and Demography (Institute  National de la Statistique et de la Demographie - INSD),2014-09-01,2014-10-01,Completed,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,BF,70,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2014-09-16,2014,2014,2014,1
Burkina Faso,DHS-VI,DHS-VI,"The Institut National de la Statistique et de la Démographie (INSD), of the Ministry of Economy and Plan (MOEP) in collaboration with the Ministry of Health (MOH)",2010-05-01,2011-01-01,Completed,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,BF,62,329,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,2010-08-31,2010,2011,2011,NA
Burkina Faso,DHS-IV,DHS-IV,Institut National de la Statistique et de la Démographie (INSD),2003-06-01,2003-11-01,Completed,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,BF,43,230,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2003-08-16,2003,2003,2003,1
Burkina Faso,DHS-III,DHS-III,Institut National de la Statistique et de la Démographie  (INSD),1998-11-01,1999-03-01,Completed,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,BF,31,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1998-12-31,1998,1999,1999,1
Burkina Faso,DHS-II,DHS-II,Institut National de la Statistique et de la Démographie (INSD),1992-12-01,1993-03-01,Completed,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,BF,21,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1993-01-15,1992,1993,1993,1
Burundi,DHS-VII,DHS-VII,Institut de Statistiques et d’Etudes Economiques du Burundi (ISTEEBU),2016-10-01,2017-02-01,Completed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,BU,70,463,NA,1,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,2016-12-02,2016,2017,2017,1
Burundi,DHS-VI,DHS-VI,Institut National de Statistique et d’Études Économiques (ISTEEBU),2012-11-01,2013-01-01,Completed,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,BU,6H,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,2012-12-01,2012,2013,2013,1
Burundi,DHS-VI,DHS-VI,Institut de Statistiques et d'Études Économiques (ISTEEBU),2010-08-01,2011-01-01,Completed,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,BU,61,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2010-10-16,2010,2011,2011,NA
Burundi,DHS-I,DHS-I,Institut National de la Statistique et de la Démographie (INSD),1987-03-01,1987-07-01,Completed,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,BU,01,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1987-05-01,1987,1987,1987,NA
Cambodia,DHS-VII,DHS-VI,National Institute of Statistics (NIS – Ministry of Planning) in collaboration with the Ministry of Health (MoH)).,2014-06-01,2014-12-01,Completed,1,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,KH,73,464,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,2014-09-01,2014,2014,2014,1
Cambodia,DHS-VI,DHS-V,National Institute of Statistics (NIS),2010-07-01,2011-01-01,Completed,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,KH,61,310,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,2010-10-01,2010,2011,2011,1
Cambodia,DHS-V,DHS-V,Ministry of Planning/National Institute of Statistics,2005-09-01,2006-03-01,Completed,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,KH,51,257,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,2005-11-30,2005,2006,2006,1
Cambodia,DHS-IV,DHS-IV,National Institute of Statistics/Ministry of Health,2000-02-01,2000-07-01,Completed,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,1,1,KH,42,140,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,2000-04-17,2000,2000,2000,1
Cambodia,DHS-III,NA,SAWA Cam./Nat. Inst. of Public Health,1998-05-01,1998-07-01,Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,KH,31,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1998-05-31,1998,1998,1998,NA
Cameroon,DHS-VI,DHS-VI,Institut National de la Statistique (INS),2011-01-01,2011-08-01,Completed,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,CM,61,337,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,2011-04-17,2011,2011,2011,1
Cameroon,DHS-IV,DHS-IV,Institut National de la Statistique,2004-02-01,2004-08-01,Completed,1,NA,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,CM,44,232,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,2004-05-02,2004,2004,2004,1
Cameroon,DHS-III,DHS-III,Bureau Central des Recensements et Études de Population,1998-02-01,1998-06-01,Completed,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,CM,31,101,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1998-04-02,1998,1998,1998,1
Cameroon,DHS-II,DHS-II,Ministère du Plan et de l’Aménagement du Territoire,1991-04-01,1991-09-01,Completed,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,CM,22,38,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,1991-06-16,1991,1991,1991,1
Cape Verde,DHS-V,,"Instituto Nacional de Estadistica, Praia, Cabo Verde",2005-07-01,2005-12-01,Completed,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,303,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2005-09-15,2005,2005,2005,1
Central African Republic,DHS-VI,NA,Ministère du Plan et de l’Economie Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales,2009-06-01,2010-09-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457,2010-01-15,2009,2010,2010,NA
Central African Republic,DHS-III,DHS-III,Direction des Statistiques Démographiques et Sociales,1994-09-01,1995-03-01,Completed,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,CF,31,66,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,1994-11-30,1994,1995,1995,1
Chad,DHS-VII,DHS-VI,"Institut National de la Statistique, des Études Économique et Démographiques (INSEED)",2014-10-01,2015-04-01,Completed,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,1,TD,71,465,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,2014-12-31,2014,2015,2015,1
Chad,DHS-IV,DHS-IV,"Institut National de la Statistique, des Études Économiques et Démographiques (INSEED)",2004-07-01,2005-12-01,Completed,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,NA,NA,1,1,1,TD,41,215,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,2005-03-17,2004,2005,2005,1
Chad,DHS-III,DHS-III,Bureau Central du Recensement,1996-12-01,1997-07-01,Completed,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,TD,31,83,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,1997-03-17,1996,1997,1997,1
Colombia,DHS-VII,DHS-VII,PROFAMILIA,2015-02-01,2016-03-01,Completed,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,1,CO,72,476,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,2015-08-17,2015,2016,2016,1
Colombia,DHS-VI,DHS-V,PROFAMILIA,2009-11-01,2010-11-01,Completed,1,1,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,CO,61,381,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365,2010-05-02,2009,2010,2010,1
Colombia,DHS-V,DHS-IV,Profamilia,2004-10-01,2005-06-01,Completed,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,CO,53,255,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,2005-01-31,2004,2005,2005,NA
Colombia,DHS-IV,DHS-IV,PROFAMILIA,2000-02-01,2000-06-01,Completed,1,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,CO,41,141,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,2000-04-01,2000,2000,2000,1
Colombia,DHS-III,DHS-III,PROFAMILIA,1995-03-01,1995-06-01,Completed,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,CO,31,72,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1995-04-16,1995,1995,1995,1
Colombia,DHS-II,DHS-II,PROFAMILIA,1990-05-01,1990-08-01,Completed,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,CO,22,30,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1990-06-16,1990,1990,1990,1
Colombia,DHS-I,DHS-I,Corporación Centro Regional de Población/Ministerio de Salud de Colombia,1986-09-01,1986-12-01,Completed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,CO,01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,1986-10-17,1986,1986,1986,NA
Comoros,DHS-VI,DHS-VI,Direction General de la Statistique et de la Prospective (DGSP),2012-08-01,2012-12-01,Completed,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,KM,61,443,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,2012-10-01,2012,2012,2012,1
Comoros,DHS-III,DHS-III,Centre National de Documentation et de Recherche Scientifique,1996-03-01,1996-05-01,Completed,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,KM,32,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1996-03-31,1996,1996,1996,1
